variable_funcional,campo_sql_candidato,validado
dlco_uncorrected,DLCOunc,true
dlco_corrected,DLCOcor,true
dm,Dm,true
kco,Kco,true
va,VA,true
dl_va,DLVA,true
svc_sb,SVCSB,true
frc_sb,FRCSB,true
rv_sb,RVSB,true
erv_sb,ERVSB,true
tlc_sb,TLCSB,true
rv_tlc_sb,RVTLCSB,true
tau,TAU,true
fi_ne,FiNe,true
fe_ne,FeNe,true
fi_co,FiCO,true
fe_co,FeCO,true
bht,BHT,true
ivc,IVC,true
dlco_ats_codes,DLCOATSCodes,true
start_collect_vol,StartCollectVol,true
stop_collect_vol,StopCollectVol,true
ictlc_sb,ICTLCSB,true
fi_ch4,FiCH4,true
fe_ch4,FeCH4,true
fi_c2h2,FiC2H2,true
fe_c2h2,FeC2H2,true
ch4_slope,CH4Slope,true
anatomic_deadspace,AnatomicDeadspace,true
valve_deadspace,ValveDeadspace,true
vatlc_pl,VATLCPL,true
vatlc_n2,VATLCN2,true
dlco_ats_grades,DLCOATSGrades,true
