ordinal_position,column_name,data_type,is_nullable,character_maximum_length,numeric_precision,numeric_scale
1,FVLDataID,int,NO,,10.0,0.0
2,PatVisitID,int,NO,,10.0,0.0
3,EffortTypeID,tinyint,NO,,3.0,0.0
4,EffortTime,datetime,NO,,,
5,EffortCDUs,float,NO,,53.0,
6,EffortArtificial,bit,NO,,,
7,EffortManual,bit,NO,,,
8,EffortSelected,bit,NO,,,
9,FVC,float,NO,,53.0,
10,FEV05,float,NO,,53.0,
11,FEV1,float,NO,,53.0,
12,FEV2,float,NO,,53.0,
13,FEV3,float,NO,,53.0,
14,FEV6,float,NO,,53.0,
15,FEV7,float,NO,,53.0,
16,FEV10,float,NO,,53.0,
17,FEV05FVC,float,NO,,53.0,
18,FEV1FVC,float,NO,,53.0,
19,FEV2FVC,float,NO,,53.0,
20,FEV3FVC,float,NO,,53.0,
21,FEV6FVC,float,NO,,53.0,
22,FEF10,float,NO,,53.0,
23,FEF25,float,NO,,53.0,
24,FEF40,float,NO,,53.0,
25,FEF50,float,NO,,53.0,
26,FEF60,float,NO,,53.0,
27,FEF70,float,NO,,53.0,
28,FEF75,float,NO,,53.0,
29,FEF80,float,NO,,53.0,
30,FEF85,float,NO,,53.0,
31,FEF90,float,NO,,53.0,
32,FEFMax,float,NO,,53.0,
33,FEF2575,float,NO,,53.0,
34,FEF7585,float,NO,,53.0,
35,FEF2001200,float,NO,,53.0,
36,ExpTime,float,NO,,53.0,
37,FET2575,float,NO,,53.0,
38,FIVC,float,NO,,53.0,
39,FIV1,float,NO,,53.0,
40,FIV1FIVC,float,NO,,53.0,
41,FIF25,float,NO,,53.0,
42,FIF50,float,NO,,53.0,
43,FIF75,float,NO,,53.0,
44,FIF2575,float,NO,,53.0,
45,FIFMax,float,NO,,53.0,
46,FEF50FIF50,float,NO,,53.0,
47,ToFEFMax,float,NO,,53.0,
48,VolExtrap,float,NO,,53.0,
49,MMET,float,NO,,53.0,
50,FVCMeanTr,float,NO,,53.0,
51,FEV1SVC,float,NO,,53.0,
52,PAlvPeak,float,NO,,53.0,
53,VolPAlvPk,float,NO,,53.0,
54,FVLInspiratorySourceData,varbinary,YES,-1.0,,
55,FVLExpiratorySourceData,varbinary,YES,-1.0,,
56,FVLTidalSourceData,varbinary,YES,-1.0,,
57,FVLATSCodes,nvarchar,YES,10.0,,
58,EffortRpLp,bit,NO,,,
59,FEFMaxFVC,float,NO,,53.0,
60,FEV1FEV6,float,NO,,53.0,
61,FEV05FEV6,float,NO,,53.0,
62,FEV2FEV6,float,NO,,53.0,
63,FEV3FEV6,float,NO,,53.0,
64,FEFMaxFEV6,float,NO,,53.0,
65,PFProtocolStageIndex,tinyint,NO,,3.0,0.0
66,PEF,float,NO,,53.0,
67,VMax60,float,NO,,53.0,
68,VMax70,float,NO,,53.0,
69,VMax80,float,NO,,53.0,
70,MP30,float,NO,,53.0,
71,FEF50FVC,float,NO,,53.0,
72,FEF75FVC,float,NO,,53.0,
73,FVLVolumeTimeSourceData,varbinary,YES,-1.0,,
74,JaegerEffort,bit,NO,,,
75,FEV075,float,NO,,53.0,
76,TestGradeNLHEP,nvarchar,YES,1.0,,
77,TestGradeATS,nvarchar,YES,10.0,,
