orden,columna,bloque,componente,variable_base,tipo_pandas_muestra
1,patient_guid,paciente,,patient_guid,str
2,patient_id_num,paciente,,patient_id_num,int64
3,patient_last_name,paciente,,patient_last_name,str
4,patient_first_name,paciente,,patient_first_name,str
5,patient_middle_name,paciente,,patient_middle_name,str
6,birthday,paciente,,birthday,str
7,sex_list_id,paciente,,sex_list_id,int64
8,race_list_id,paciente,,race_list_id,int64
9,pat_visit_id,visita,,pat_visit_id,int64
10,pat_visit_guid,visita,,pat_visit_guid,str
11,visit_datetime,visita,,visit_datetime,str
12,age,visita,,age,float64
13,weight,visita,,weight,float64
14,height,visita,,height,float64
15,bmi,visita,,bmi,float64
16,pred_set_name,visita,,pred_set_name,str
17,diagnosis,visita,,diagnosis,str
18,comments,visita,,comments,str
19,post_comment,visita,,post_comment,float64
20,signed,visita,,signed,bool
21,signed_datetime,visita,,signed_datetime,str
22,volextrap_predicted,resultado_fvl,predicted,volextrap,float64
23,volextrap_sd,resultado_fvl,sd,volextrap,float64
24,volextrap_cv,resultado_fvl,cv,volextrap,float64
25,volextrap_skewness,resultado_fvl,skewness,volextrap,float64
26,volextrap_pre,resultado_fvl,pre,volextrap,float64
27,volextrap_post,resultado_fvl,post,volextrap,float64
28,exptime_predicted,resultado_fvl,predicted,exptime,float64
29,exptime_sd,resultado_fvl,sd,exptime,float64
30,exptime_cv,resultado_fvl,cv,exptime,float64
31,exptime_skewness,resultado_fvl,skewness,exptime,float64
32,exptime_pre,resultado_fvl,pre,exptime,float64
33,exptime_post,resultado_fvl,post,exptime,float64
34,fef10_predicted,resultado_fvl,predicted,fef10,float64
35,fef10_sd,resultado_fvl,sd,fef10,float64
36,fef10_cv,resultado_fvl,cv,fef10,float64
37,fef10_skewness,resultado_fvl,skewness,fef10,float64
38,fef10_pre,resultado_fvl,pre,fef10,float64
39,fef10_post,resultado_fvl,post,fef10,float64
40,fef2001200_predicted,resultado_fvl,predicted,fef2001200,float64
41,fef2001200_sd,resultado_fvl,sd,fef2001200,float64
42,fef2001200_cv,resultado_fvl,cv,fef2001200,float64
43,fef2001200_skewness,resultado_fvl,skewness,fef2001200,float64
44,fef2001200_pre,resultado_fvl,pre,fef2001200,float64
45,fef2001200_post,resultado_fvl,post,fef2001200,float64
46,fef25_predicted,resultado_fvl,predicted,fef25,float64
47,fef25_sd,resultado_fvl,sd,fef25,float64
48,fef25_cv,resultado_fvl,cv,fef25,float64
49,fef25_skewness,resultado_fvl,skewness,fef25,float64
50,fef25_pre,resultado_fvl,pre,fef25,float64
51,fef25_post,resultado_fvl,post,fef25,float64
52,fef2575_predicted,resultado_fvl,predicted,fef2575,float64
53,fef2575_sd,resultado_fvl,sd,fef2575,float64
54,fef2575_cv,resultado_fvl,cv,fef2575,float64
55,fef2575_skewness,resultado_fvl,skewness,fef2575,float64
56,fef2575_pre,resultado_fvl,pre,fef2575,float64
57,fef2575_post,resultado_fvl,post,fef2575,float64
58,fef40_predicted,resultado_fvl,predicted,fef40,float64
59,fef40_sd,resultado_fvl,sd,fef40,float64
60,fef40_cv,resultado_fvl,cv,fef40,float64
61,fef40_skewness,resultado_fvl,skewness,fef40,float64
62,fef40_pre,resultado_fvl,pre,fef40,float64
63,fef40_post,resultado_fvl,post,fef40,float64
64,fef50_predicted,resultado_fvl,predicted,fef50,float64
65,fef50_sd,resultado_fvl,sd,fef50,float64
66,fef50_cv,resultado_fvl,cv,fef50,float64
67,fef50_skewness,resultado_fvl,skewness,fef50,float64
68,fef50_pre,resultado_fvl,pre,fef50,float64
69,fef50_post,resultado_fvl,post,fef50,float64
70,fef60_predicted,resultado_fvl,predicted,fef60,float64
71,fef60_sd,resultado_fvl,sd,fef60,float64
72,fef60_cv,resultado_fvl,cv,fef60,float64
73,fef60_skewness,resultado_fvl,skewness,fef60,float64
74,fef60_pre,resultado_fvl,pre,fef60,float64
75,fef60_post,resultado_fvl,post,fef60,float64
76,fef70_predicted,resultado_fvl,predicted,fef70,float64
77,fef70_sd,resultado_fvl,sd,fef70,float64
78,fef70_cv,resultado_fvl,cv,fef70,float64
79,fef70_skewness,resultado_fvl,skewness,fef70,float64
