source_schema	source_table	column_id	source_column	sqlserver_type	max_length	precision	scale	is_nullable	is_identity	default_definition
dbo	BloodData	1	BloodDataID	int	4	10	0	0	1	NULL
dbo	BloodData	2	PatVisitID	int	4	10	0	0	0	(0)
dbo	BloodData	3	EffortTypeID	tinyint	1	3	0	0	0	(0)
dbo	BloodData	4	EffortTime	datetime	8	23	3	0	0	NULL
dbo	BloodData	5	EffortCDUs	float	8	53	0	0	0	(0)
dbo	BloodData	6	EffortArtificial	bit	1	1	0	0	0	(0)
dbo	BloodData	7	EffortSelected	bit	1	1	0	0	0	(0)
dbo	BloodData	8	FIO2	float	8	53	0	0	0	(0)
dbo	BloodData	9	PaO2	float	8	53	0	0	0	(0)
dbo	BloodData	10	PaCO2	float	8	53	0	0	0	(0)
dbo	BloodData	11	pH	float	8	53	0	0	0	(0)
dbo	BloodData	12	Hgb	float	8	53	0	0	0	(0)
dbo	BloodData	13	BaseExcess	float	8	53	0	0	0	(0)
dbo	BloodData	14	CvO2	float	8	53	0	0	0	(0)
dbo	BloodData	15	PAaO2	float	8	53	0	0	0	(0)
dbo	BloodData	16	MetHb	float	8	53	0	0	0	(0)
dbo	BloodData	17	COHb	float	8	53	0	0	0	(0)
dbo	BloodData	18	Temperature	float	8	53	0	0	0	(0)
dbo	BloodData	19	SaO2	float	8	53	0	0	0	(0)
dbo	BloodData	20	QspQt	float	8	53	0	0	0	(0)
dbo	BloodData	21	HCO3	float	8	53	0	0	0	(0)
dbo	BloodData	22	PAO2Alv	float	8	53	0	0	0	(0)
dbo	BloodData	23	HCT	float	8	53	0	0	0	(0)
dbo	BloodData	24	CvaCO2	float	8	53	0	0	0	(0)
dbo	BloodData	25	HgbFX	float	8	53	0	0	0	(0)
dbo	BloodData	26	CavO2	float	8	53	0	0	0	(0)
dbo	BloodData	27	PavO2	float	8	53	0	0	0	(0)
dbo	BloodData	28	PvCO2	float	8	53	0	0	0	(0)
dbo	BloodData	29	vpH	float	8	53	0	0	0	(0)
dbo	BloodData	30	CvP	float	8	53	0	0	0	(0)
dbo	BloodData	31	PvO2	float	8	53	0	0	0	(0)
dbo	BloodData	32	Lactate	float	8	53	0	0	0	(0)
dbo	BloodData	33	CaO2	float	8	53	0	0	0	(0)
dbo	BloodData	34	SvO2	float	8	53	0	0	0	(0)
dbo	BloodData	35	SupO2Device	nvarchar	40	0	0	1	0	NULL
dbo	BloodData	36	QspQtManuallyEntered	bit	1	1	0	0	0	(0)
dbo	BloodData	37	CvO2ManuallyEntered	bit	1	1	0	0	0	(0)
dbo	BloodData	38	PAO2ManuallyEntered	bit	1	1	0	0	0	(0)
dbo	BloodData	39	BaseExcessManuallyEntered	bit	1	1	0	0	0	(0)
dbo	BloodData	40	HCO3ManuallyEntered	bit	1	1	0	0	0	(0)
dbo	BloodData	41	SaO2ManuallyEntered	bit	1	1	0	0	0	(0)
dbo	BloodData	42	SvO2ManuallyEntered	bit	1	1	0	0	0	(0)
dbo	BloodData	43	PFProtocolStageIndex	tinyint	1	3	0	0	0	(0)
dbo	BloodData	44	HgbGmL	float	8	53	0	0	0	(0)
dbo	DeltaCO2Data	1	DeltaCO2DataID	int	4	10	0	0	1	NULL
dbo	DeltaCO2Data	2	PatVisitID	int	4	10	0	0	0	(0)
