constraint_type	source_schema	source_table	constraint_name	source_column	key_ordinal	referenced_schema	referenced_table	referenced_column
FK	dbo	BloodData	FK_BloodData_EffortType	EffortTypeID	1	dbo	EffortType	EffortTypeID
FK	dbo	BloodData	FK_BloodData_PatVisit	PatVisitID	1	dbo	PatVisit	PatVisitID
PK	dbo	BloodData	aaaaaBloodData_PK	BloodDataID	1	NULL	NULL	NULL
FK	dbo	DeltaCO2Data	FK_DeltaCO2Data_EffortType	EffortTypeID	1	dbo	EffortType	EffortTypeID
FK	dbo	DeltaCO2Data	FK_DeltaCO2Data_PatVisit	PatVisitID	1	dbo	PatVisit	PatVisitID
PK	dbo	DeltaCO2Data	PK__DeltaCO2Data__2CDF35F4	DeltaCO2DataID	1	NULL	NULL	NULL
FK	dbo	DLCOData	FK_DLCOData_EffortType	EffortTypeID	1	dbo	EffortType	EffortTypeID
FK	dbo	DLCOData	FK_DLCOData_PatVisit	PatVisitID	1	dbo	PatVisit	PatVisitID
PK	dbo	DLCOData	aaaaaDLCOData_PK	DLCODataID	1	NULL	NULL	NULL
FK	dbo	DynamicData	FK_DynamicData_EffortType	EffortTypeID	1	dbo	EffortType	EffortTypeID
FK	dbo	DynamicData	FK_DynamicData_PatVisit	PatVisitID	1	dbo	PatVisit	PatVisitID
PK	dbo	DynamicData	aaaaaDynamicData_PK	DynamicDataID	1	NULL	NULL	NULL
PK	dbo	EffortType	aaaaaEffortType_PK	EffortTypeID	1	NULL	NULL	NULL
FK	dbo	FOTData	FK_FOTData_EffortType	EffortTypeID	1	dbo	EffortType	EffortTypeID
FK	dbo	FOTData	FK_FOTData_PatVisit	PatVisitID	1	dbo	PatVisit	PatVisitID
PK	dbo	FOTData	PK__FOTData__0960EF8D	FOTDataID	1	NULL	NULL	NULL
FK	dbo	FRCData	FK_FRCData_EffortType	EffortTypeID	1	dbo	EffortType	EffortTypeID
FK	dbo	FRCData	FK_FRCData_PatVisit	PatVisitID	1	dbo	PatVisit	PatVisitID
PK	dbo	FRCData	aaaaaFRCData_PK	FRCDataID	1	NULL	NULL	NULL
FK	dbo	FVLData	FK_FVLData_EffortType	EffortTypeID	1	dbo	EffortType	EffortTypeID
FK	dbo	FVLData	FK_FVLData_PatVisit	PatVisitID	1	dbo	PatVisit	PatVisitID
PK	dbo	FVLData	aaaaaFVLData_PK	FVLDataID	1	NULL	NULL	NULL
PK	dbo	Hardware	aaaaaHardware_PK	HardwareID	1	NULL	NULL	NULL
FK	dbo	MipData	FK_MipData_EffortType	EffortTypeID	1	dbo	EffortType	EffortTypeID
FK	dbo	MipData	FK_MipData_PatVisit	PatVisitID	1	dbo	PatVisit	PatVisitID
PK	dbo	MipData	aaaaaMipData_PK	MipDataID	1	NULL	NULL	NULL
FK	dbo	MVVData	FK_MVVData_EffortType	EffortTypeID	1	dbo	EffortType	EffortTypeID
FK	dbo	MVVData	FK_MVVData_PatVisit	PatVisitID	1	dbo	PatVisit	PatVisitID
PK	dbo	MVVData	aaaaaMVVData_PK	MVVDataID	1	NULL	NULL	NULL
FK	dbo	P100Data	FK__P100Data__Effort__2E3D6E81	EffortTypeID	1	dbo	EffortType	EffortTypeID
FK	dbo	P100Data	FK_P100Data_PatVisit	PatVisitID	1	dbo	PatVisit	PatVisitID
PK	dbo	P100Data	PK__P100Data__2A6CDD9D	P100DataID	1	NULL	NULL	NULL
PK	dbo	Patient	aaaaaPatient_PK	PatientGUID	1	NULL	NULL	NULL
FK	dbo	PatVisit	FK_PatVisit_DoctorGUID	DoctorGUID	1	dbo	Staff	StaffGUID
FK	dbo	PatVisit	FK_PatVisit_DoctorGUID2	DoctorGUID2	1	dbo	Staff	StaffGUID
FK	dbo	PatVisit	FK_PatVisit_DoctorGUID3	DoctorGUID3	1	dbo	Staff	StaffGUID
FK	dbo	PatVisit	FK_PatVisit_Patient	PatientGUID	1	dbo	Patient	PatientGUID
FK	dbo	PatVisit	FK_PatVisit_PFProtocolGUID	PFProtocolGUID	1	dbo	PFProtocol	PFProtocolGUID
FK	dbo	PatVisit	FK_PatVisit_ReviewStatus	ReviewStatusID	1	dbo	ReviewStatus	ReviewStatusID
FK	dbo	PatVisit	FK_PatVisit_SiteGUID	SiteGUID	1	dbo	Site	SiteGUID
FK	dbo	PatVisit	FK_PatVisit_TechGUID	TechGUID	1	dbo	Staff	StaffGUID
